Measurement,Left CP,Right CP,Combined CR,Left CR,Right CR
170,28,29,7.491228070175438,15.25,14.724137931034482
171,27,25,8.211538461538462,15.814814814814815,17.08
172,36,26,6.887096774193548,11.86111111111111,16.423076923076923
173,34,38,5.930555555555555,12.558823529411764,11.236842105263158
174,31,32,6.777777777777778,13.774193548387096,13.34375
175,51,38,4.797752808988764,8.372549019607844,11.236842105263158
176,56,59,3.7130434782608694,7.625,7.237288135593221
177,37,35,5.930555555555555,11.54054054054054,12.2
178,71,37,3.9537037037037037,6.014084507042254,11.54054054054054
179,100,47,2.9047619047619047,4.27,9.085106382978724
180,94,39,3.210526315789474,4.542553191489362,10.948717948717949
181,76,43,3.588235294117647,5.618421052631579,9.930232558139535
182,91,52,2.986013986013986,4.6923076923076925,8.211538461538462
183,81,31,3.8125,5.271604938271605,13.774193548387096
184,88,40,3.3359375,4.8522727272727275,10.675
185,59,26,5.023529411764706,7.237288135593221,16.423076923076923
186,57,24,5.271604938271605,7.491228070175438,17.791666666666668
187,32,20,8.211538461538462,13.34375,21.35
188,23,24,9.085106382978724,18.565217391304348,17.791666666666668
189,26,36,6.887096774193548,16.423076923076923,11.86111111111111
190,28,31,7.237288135593221,15.25,13.774193548387096
191,31,35,6.46969696969697,13.774193548387096,12.2
192,25,28,8.056603773584905,17.08,15.25
193,29,27,7.625,14.724137931034482,15.814814814814815
194,29,27,7.625,14.724137931034482,15.814814814814815
195,33,39,5.930555555555555,12.93939393939394,10.948717948717949
196,30,28,7.362068965517241,14.233333333333333,15.25
197,46,38,5.083333333333333,9.282608695652174,11.236842105263158
198,45,51,4.447916666666667,9.488888888888889,8.372549019607844
199,34,40,5.77027027027027,12.558823529411764,10.675
200,54,37,4.6923076923076925,7.907407407407407,11.54054054054054
201,86,53,3.0719424460431655,4.965116279069767,8.056603773584905
202,86,44,3.2846153846153845,4.965116279069767,9.704545454545455
203,90,45,3.162962962962963,4.7444444444444445,9.488888888888889
204,104,34,3.0942028985507246,4.105769230769231,12.558823529411764
205,92,28,3.558333333333333,4.641304347826087,15.25
206,84,31,3.7130434782608694,5.083333333333333,13.774193548387096
207,59,24,5.144578313253012,7.237288135593221,17.791666666666668
208,55,23,5.4743589743589745,7.763636363636364,18.565217391304348
209,35,20,7.763636363636364,12.2,21.35
